timestamp_ms,ax,ay,az,gx,gy,gz,label
665659,0.0714,0.9952,-0.0779,0.2441,7.2632,4.0283,downstairs
665669,0.0687,0.9988,-0.0790,-0.2441,7.1411,3.9673,downstairs
665679,0.0653,1.0020,-0.0806,-1.1597,7.1411,3.0518,downstairs
665689,0.0464,1.0066,-0.0724,-1.4038,7.4463,2.5635,downstairs
665699,0.0348,1.0023,-0.0596,-1.7700,7.8125,2.4414,downstairs
665709,0.0282,0.9973,-0.0555,-2.3804,8.4839,2.5635,downstairs
665719,0.0238,0.9899,-0.0612,-3.5400,9.5215,2.8076,downstairs
665729,0.0266,0.9863,-0.0717,-5.3711,11.1084,2.9297,downstairs
665739,0.0288,0.9816,-0.0872,-8.3618,16.0522,3.1738,downstairs
665749,0.0383,0.9775,-0.0898,-9.2773,18.5547,3.2349,downstairs
665759,0.0461,0.9722,-0.0885,-9.7046,20.3247,3.4180,downstairs
665769,0.0532,0.9683,-0.0824,-9.5825,21.4844,3.7842,downstairs
665779,0.0587,0.9586,-0.0789,-8.9111,21.9727,4.3945,downstairs
665789,0.0637,0.9570,-0.0723,-8.3008,21.7896,5.1880,downstairs
665809,0.0554,0.9611,-0.0519,-6.4697,18.1885,6.2866,downstairs
665819,0.0446,0.9603,-0.0458,-6.3477,16.6626,6.4697,downstairs
665829,0.0332,0.9648,-0.0436,-6.2256,14.7095,6.9580,downstairs
665839,0.0197,0.9685,-0.0420,-6.3477,12.9395,6.8970,downstairs
665849,0.0079,0.9760,-0.0443,-6.5918,10.1318,6.2866,downstairs
665859,-0.0029,0.9788,-0.0477,-6.7749,9.0942,5.4932,downstairs
665869,-0.0050,0.9797,-0.0499,-6.9580,8.3618,4.3945,downstairs
665879,-0.0065,0.9825,-0.0551,-7.2021,7.7515,3.0518,downstairs
665889,-0.0035,0.9866,-0.0566,-7.5684,7.0801,1.8921,downstairs
665899,-0.0018,0.9919,-0.0570,-7.6294,6.1646,0.4272,downstairs
665909,0.0000,0.9948,-0.0588,-7.5684,4.2725,-1.4648,downstairs
665919,0.0012,1.0032,-0.0599,-7.3853,2.9907,-2.1362,downstairs
665929,0.0026,1.0072,-0.0642,-7.3242,1.7700,-2.8687,downstairs
665939,0.0013,1.0084,-0.0706,-7.4463,0.2441,-3.4180,downstairs
665949,0.0002,1.0107,-0.0802,-7.6294,-1.4648,-3.6621,downstairs
