timestamp_ms,ax,ay,az,gx,gy,gz,label
860671,0.2106,0.9569,-0.1549,-0.5493,2.3193,-2.0142,fall
860691,0.1954,0.9561,-0.1301,-1.0986,0.7324,-1.5259,fall
860701,0.1891,0.9603,-0.1338,-1.0376,0.1831,-1.4648,fall
860711,0.1843,0.9655,-0.1405,-0.8545,0.1831,-1.5869,fall
860721,0.1802,0.9713,-0.1479,-0.5493,0.9766,-1.8311,fall
860731,0.1780,0.9757,-0.1501,0.4883,2.6855,-2.7466,fall
860741,0.1824,0.9768,-0.1515,0.6714,3.1738,-2.8687,fall
860751,0.1895,0.9731,-0.1556,0.9155,3.7231,-3.1128,fall
860761,0.1969,0.9663,-0.1588,0.9155,3.9062,-3.3569,fall
860771,0.2058,0.9639,-0.1630,1.0986,3.9062,-3.8452,fall
860781,0.2146,0.9619,-0.1642,1.1597,3.6621,-4.0894,fall
860791,0.2205,0.9559,-0.1646,1.2207,2.9907,-4.2114,fall
860801,0.2233,0.9586,-0.1655,0.9155,2.7466,-4.0894,fall
860811,0.2184,0.9604,-0.1638,0.3662,2.2583,-3.9062,fall
860821,0.2120,0.9615,-0.1594,0.1831,1.6479,-3.7842,fall
860831,0.2089,0.9635,-0.1559,0.0610,1.2207,-3.8452,fall
860841,0.2083,0.9600,-0.1493,0.0610,1.1597,-4.5776,fall
860861,0.2013,0.9642,-0.1232,-0.9766,2.1362,-5.2490,fall
860871,0.1980,0.9738,-0.1270,-1.8311,2.1362,-5.9204,fall
860881,0.1996,0.9844,-0.1372,-2.1973,2.1973,-6.8970,fall
860891,0.2018,0.9888,-0.1481,-2.1362,2.1973,-7.6904,fall
860901,0.2047,0.9880,-0.1569,-1.6479,2.2583,-8.7891,fall
860911,0.2180,0.9641,-0.1718,-1.0986,2.5024,-8.8501,fall
860921,0.2267,0.9520,-0.1719,-0.6104,2.8076,-8.6670,fall
860931,0.2296,0.9447,-0.1658,-0.3052,2.9907,-8.6060,fall
860941,0.2299,0.9453,-0.1617,-0.6714,2.5635,-8.6060,fall
860951,0.2290,0.9496,-0.1685,-0.9766,2.2583,-8.7891,fall
860961,0.2345,0.9534,-0.1816,-0.4272,3.3569,-10.7422,fall
860971,0.2488,0.9662,-0.1793,-0.3052,4.4556,-12.3291,fall
860981,0.2505,0.9623,-0.1768,-0.6104,5.0049,-13.6719,fall
860991,0.2576,0.9508,-0.1768,-1.7700,4.8218,-14.6484,fall
861001,0.2648,0.9379,-0.1793,-3.0518,4.5776,-15.5640,fall
861011,0.2620,0.9241,-0.1736,-3.6011,4.8218,-17.3340,fall
861031,0.1995,0.9163,-0.1206,-4.8218,5.7983,-18.8599,fall
861041,0.1860,0.9144,-0.1080,-5.4932,5.3711,-19.8975,fall
861051,0.1782,0.9166,-0.1080,-5.8594,4.8218,-20.9351,fall
861061,0.1786,0.9181,-0.1143,-5.9814,3.6621,-22.1558,fall
861071,0.1857,0.9133,-0.1298,-7.8735,0.3052,-23.9868,fall
861081,0.2100,0.9191,-0.1570,-8.7891,-0.3052,-25.1465,fall
861091,0.2213,0.9327,-0.1573,-8.3618,0.5493,-26.8555,fall
861101,0.2318,0.9403,-0.1537,-6.4697,2.3804,-28.8086,fall
861111,0.2391,0.9359,-0.1631,-5.1270,3.9673,-30.3955,fall
861121,0.2440,0.9199,-0.1794,-4.6997,3.6011,-30.3955,fall
