timestamp_ms,ax,ay,az,gx,gy,gz,label
463034,0.1140,0.9666,0.1378,-0.6714,-1.3428,-0.8545,fall_backwards
882110,0.0488,0.9818,0.0758,5.1270,-0.1831,3.3569,fall_backwards
882130,0.0551,0.9788,0.0775,4.9438,0.3052,3.4180,fall_backwards
882140,0.0548,0.9775,0.0809,4.9438,-0.1221,3.4180,fall_backwards
882150,0.0535,0.9760,0.0847,5.1270,-0.1831,3.6011,fall_backwards
882160,0.0516,0.9730,0.0844,5.1270,-0.4272,3.6011,fall_backwards
882170,0.0498,0.9741,0.0859,5.2490,-0.4272,4.2114,fall_backwards
882180,0.0480,0.9742,0.0834,5.4321,-0.4272,4.5166,fall_backwards
882190,0.0458,0.9725,0.0833,5.7373,-0.1831,4.5776,fall_backwards
882200,0.0432,0.9746,0.0837,5.8594,0.1221,4.6387,fall_backwards
882210,0.0409,0.9729,0.0875,6.0425,0.2441,4.6997,fall_backwards
882220,0.0385,0.9738,0.0907,6.2256,0.2441,4.9438,fall_backwards
882230,0.0355,0.9753,0.0981,6.7139,0.0000,5.1880,fall_backwards
882240,0.0272,0.9825,0.1016,7.0801,0.0000,5.2490,fall_backwards
882250,0.0231,0.9855,0.1090,7.6294,-0.1221,5.3101,fall_backwards
882260,0.0212,0.9893,0.1122,7.7515,-0.0610,5.4932,fall_backwards
882270,0.0237,0.9941,0.1161,8.0566,-0.1831,5.9814,fall_backwards
882280,0.0210,0.9977,0.1185,8.1177,0.0000,6.7749,fall_backwards
882300,0.0045,1.0277,0.1212,7.8735,-0.4883,7.7515,fall_backwards
882310,0.0022,1.0294,0.1116,8.1177,-0.7324,7.9956,fall_backwards
882320,0.0023,1.0281,0.1085,8.6670,-0.3052,8.2397,fall_backwards
882330,0.0045,1.0177,0.1143,9.2163,0.4883,8.1177,fall_backwards
882340,0.0074,0.9958,0.1171,10.5591,1.8311,8.1787,fall_backwards
882350,0.0011,0.9572,0.1329,11.1694,1.8311,8.1177,fall_backwards
882360,-0.0007,0.9437,0.1412,11.6577,1.2207,8.2397,fall_backwards
882370,-0.0002,0.9377,0.1460,12.1460,0.3052,8.5449,fall_backwards
882380,0.0043,0.9380,0.1426,12.4512,-0.3052,8.4839,fall_backwards
882390,0.0140,0.9418,0.1403,12.5732,-0.2441,8.4229,fall_backwards
882400,0.0216,0.9418,0.1324,12.8784,0.1221,8.1177,fall_backwards
882410,0.0253,0.9534,0.1292,12.4512,0.1831,8.3008,fall_backwards
882420,0.0236,0.9561,0.1265,12.2681,-0.1831,8.5449,fall_backwards
882430,0.0221,0.9573,0.1266,12.0239,-0.7935,8.6670,fall_backwards
882440,0.0195,0.9534,0.1279,11.9019,-1.1597,8.9722,fall_backwards
882450,0.0144,0.9485,0.1240,11.9629,-1.4648,9.2163,fall_backwards
882460,0.0098,0.9410,0.1270,11.5967,-0.7935,9.8877,fall_backwards
882470,0.0057,0.9426,0.1322,11.4136,-0.1221,10.4370,fall_backwards
882480,0.0020,0.9447,0.1349,11.6577,0.6714,11.1694,fall_backwards
882490,0.0005,0.9510,0.1346,11.9019,1.5259,11.5356,fall_backwards
882500,-0.0031,0.9626,0.1377,12.4512,2.0142,11.7798,fall_backwards
882510,-0.0068,0.9792,0.1403,13.0615,2.1362,12.3901,fall_backwards
882530,-0.0098,1.0010,0.1282,14.2212,2.2583,12.0850,fall_backwards
882540,-0.0061,0.9994,0.1301,14.4653,2.2583,11.5967,fall_backwards
882550,-0.0032,0.9917,0.1310,14.6484,2.5024,11.2305,fall_backwards
882560,0.0004,0.9829,0.1366,14.8315,2.6245,11.0474,fall_backwards
882570,0.0009,0.9728,0.1409,15.2588,2.5635,10.7422,fall_backwards
882580,0.0040,0.9642,0.1459,15.1367,2.5024,10.6812,fall_backwards
882590,0.0042,0.9608,0.1493,14.7095,2.4414,10.6812,fall_backwards
882600,0.0037,0.9590,0.1495,14.4653,2.3193,10.6812,fall_backwards
882610,0.0061,0.9583,0.1472,14.1602,2.1362,10.7422,fall_backwards
882620,0.0071,0.9585,0.1414,14.0381,2.0142,10.6812,fall_backwards
882630,0.0100,0.9622,0.1337,13.5498,2.2583,10.1929,fall_backwards
882640,0.0150,0.9615,0.1361,13.6108,2.3193,10.3149,fall_backwards
882650,0.0144,0.9604,0.1414,13.7329,2.1362,10.4370,fall_backwards
882660,0.0129,0.9581,0.1427,14.0381,1.5869,10.6812,fall_backwards
882670,0.0127,0.9573,0.1422,14.2212,1.0986,11.1694,fall_backwards
882680,0.0137,0.9562,0.1414,14.4043,0.8545,12.0239,fall_backwards
882700,0.0084,0.9520,0.1366,14.8315,0.4883,12.5122,fall_backwards
882710,0.0098,0.9519,0.1376,14.7705,0.6714,12.9395,fall_backwards
882720,0.0105,0.9515,0.1371,15.0146,0.9155,13.1836,fall_backwards
882730,0.0101,0.9532,0.1385,15.2588,1.1597,13.2446,fall_backwards
882740,0.0082,0.9513,0.1393,15.5640,1.0986,14.0381,fall_backwards
882750,0.0074,0.9528,0.1377,15.7471,0.9766,14.2212,fall_backwards
882760,0.0104,0.9517,0.1373,16.0522,1.2207,14.4653,fall_backwards
882770,0.0118,0.9484,0.1389,16.1133,1.3428,14.8315,fall_backwards
882780,0.0100,0.9474,0.1372,16.1743,1.5869,15.1367,fall_backwards
882790,0.0121,0.9503,0.1276,16.0522,1.4648,15.3198,fall_backwards
