timestamp_ms,ax,ay,az,gx,gy,gz,label
1189898,0.3320,0.8837,-0.2942,-11.1694,-6.4697,-6.7139,fall_forwards
1189908,0.3320,0.8822,-0.2896,-12.1460,-6.2866,-6.6528,fall_forwards
1189918,0.3315,0.8827,-0.2845,-12.6343,-6.4697,-6.8970,fall_forwards
1189928,0.3347,0.8848,-0.2809,-12.9395,-6.8359,-6.7749,fall_forwards
1189938,0.3390,0.8848,-0.2759,-12.8174,-7.2021,-6.2256,fall_forwards
1189948,0.3414,0.8866,-0.2698,-12.8174,-8.1177,-6.0425,fall_forwards
1189958,0.3423,0.8877,-0.2648,-13.0005,-9.8877,-4.5166,fall_forwards
1189968,0.3373,0.8929,-0.2617,-13.4277,-11.1084,-3.8452,fall_forwards
1189978,0.3309,0.8961,-0.2610,-13.9160,-12.1460,-3.6011,fall_forwards
1189988,0.3218,0.8961,-0.2666,-14.4653,-13.2446,-3.4180,fall_forwards
1189998,0.3116,0.8954,-0.2708,-14.9536,-14.5264,-3.4790,fall_forwards
1190008,0.3043,0.8945,-0.2733,-15.3809,-30.8228,-4.8218,fall_forwards
1190028,0.2861,0.8796,-0.2764,-16.2964,-16.2354,-6.3477,fall_forwards
1190038,0.2856,0.8749,-0.2793,-16.5405,-15.5640,-7.0190,fall_forwards
1190048,0.2855,0.8723,-0.2747,-16.4185,-14.7095,-7.6904,fall_forwards
1190058,0.2864,0.8669,-0.2666,-16.1133,-13.3057,-8.4229,fall_forwards
1190068,0.2904,0.8616,-0.2612,-15.8081,-11.9019,-9.0332,fall_forwards
1190078,0.2944,0.8549,-0.2552,-15.9302,-11.7187,-9.0942,fall_forwards
1190088,0.2992,0.8485,-0.2491,-15.9302,-11.7798,-9.2163,fall_forwards
1190098,0.2974,0.8507,-0.2487,-15.8691,-12.0850,-9.5215,fall_forwards
1190108,0.2977,0.8477,-0.2484,-16.1743,-12.5122,-9.6436,fall_forwards
1190118,0.3025,0.8492,-0.2465,-16.1743,-12.8174,-10.1318,fall_forwards
1190128,0.2999,0.8506,-0.2418,-15.5029,-13.7939,-10.1929,fall_forwards
1190138,0.2915,0.8411,-0.2454,-15.3198,-14.2822,-9.8877,fall_forwards
1190148,0.2896,0.8333,-0.2466,-15.3809,-14.1602,-9.6436,fall_forwards
1190158,0.2921,0.8298,-0.2499,-15.7471,-14.2822,-9.5825,fall_forwards
1190168,0.2831,0.8232,-0.2537,-16.6626,-14.2212,-9.5215,fall_forwards
1190178,0.2844,0.8198,-0.2574,-17.2119,-14.2212,-9.7656,fall_forwards
1190198,0.2810,0.8125,-0.2605,-18.9819,-12.5122,-11.7187,fall_forwards
1190208,0.2845,0.8132,-0.2623,-19.2261,-12.2681,-12.4512,fall_forwards
1190218,0.2919,0.8171,-0.2618,-19.1650,-12.6343,-13.6108,fall_forwards
1190228,0.3013,0.8232,-0.2617,-18.7988,-13.5498,-14.7095,fall_forwards
1190238,0.2994,0.8264,-0.2593,-18.1274,-16.2964,-16.8457,fall_forwards
1190248,0.3048,0.8256,-0.2506,-16.6626,-17.3340,-17.3950,fall_forwards
1190258,0.2948,0.8229,-0.2463,-16.4795,-17.8223,-18.0054,fall_forwards
1190268,0.2823,0.8176,-0.2410,-16.4795,-17.8223,-18.7378,fall_forwards
1190278,0.2677,0.8018,-0.2350,-16.9067,-17.3950,-19.4702,fall_forwards
1190288,0.2592,0.7902,-0.2224,-18.2495,-16.2964,-20.2637,fall_forwards
1190298,0.2484,0.7767,-0.2174,-23.0103,-12.1460,-22.0337,fall_forwards
1190308,0.2422,0.7592,-0.2283,-26.2451,-9.5825,-23.4985,fall_forwards
1190318,0.2468,0.7621,-0.2500,-29.8462,-6.8970,-25.2686,fall_forwards
1190328,0.2542,0.7451,-0.2632,-33.0200,-4.5166,-27.8320,fall_forwards
1190338,0.2705,0.7719,-0.2743,-36.6211,-3.1738,-33.3862,fall_forwards
1190348,0.2781,0.8020,-0.2800,-37.9639,-2.9297,-35.4614,fall_forwards
1190358,0.2949,0.7708,-0.2787,-37.7197,-4.6997,-40.0391,fall_forwards
