timestamp_ms,ax,ay,az,gx,gy,gz,label
1062742,0.2601,0.9204,-0.2965,3.9673,-2.1362,6.2256,fall_sideways
1062752,0.2661,0.9293,-0.2928,4.8218,-2.0142,7.7515,fall_sideways
1062762,0.2738,0.9424,-0.2855,6.0425,-1.8311,9.5215,fall_sideways
1062772,0.2791,0.9564,-0.2754,7.7515,-1.8921,11.4136,fall_sideways
1062782,0.2814,0.9698,-0.2712,11.1694,-3.6011,15.6860,fall_sideways
1062792,0.2737,0.9915,-0.2766,12.8784,-4.6387,18.1274,fall_sideways
1062802,0.2679,1.0006,-0.2860,13.9771,-6.1035,20.2026,fall_sideways
1062812,0.2612,1.0082,-0.3015,15.2588,-7.8125,22.1558,fall_sideways
1062822,0.2582,1.0159,-0.3219,16.6016,-9.8877,23.9868,fall_sideways
1062832,0.2574,1.0247,-0.3263,18.1274,-11.9019,25.3296,fall_sideways
1062842,0.2610,1.0293,-0.2939,21.7896,-14.4653,26.4893,fall_sideways
1062852,0.2549,1.0216,-0.2764,23.4985,-15.5029,27.2217,fall_sideways
1062862,0.2489,1.0068,-0.2651,24.6582,-16.8457,27.7100,fall_sideways
1062872,0.2372,0.9851,-0.2548,25.0854,-18.4937,28.0151,fall_sideways
1062882,0.2306,0.9656,-0.2439,25.0854,-20.1416,28.2593,fall_sideways
1062892,0.2314,0.9504,-0.2319,25.0854,-21.7285,26.6724,fall_sideways
1062912,0.2328,0.9503,-0.1956,26.0010,-26.3672,24.5972,fall_sideways
1062922,0.2339,0.9460,-0.2003,25.8789,-27.8931,23.7427,fall_sideways
1062932,0.2384,0.9490,-0.2040,25.5737,-28.9307,22.8271,fall_sideways
1062942,0.2428,0.9463,-0.2159,25.1465,-29.8462,22.2168,fall_sideways
1062952,0.2454,0.9536,-0.2290,23.7427,-32.2266,21.9116,fall_sideways
1062962,0.2465,0.9373,-0.2000,23.5596,-32.7759,21.7285,fall_sideways
1062972,0.2422,0.9318,-0.1934,23.6206,-33.3252,21.5454,fall_sideways
1062982,0.2437,0.9309,-0.1932,22.6440,-34.6069,21.1792,fall_sideways
1062992,0.2441,0.9298,-0.1997,21.1792,-36.4380,20.4468,fall_sideways
1063002,0.2493,0.9261,-0.2042,20.5078,-38.3911,19.6533,fall_sideways
1063012,0.2448,0.8790,-0.2004,19.1040,-42.3584,19.3481,fall_sideways
1063022,0.2333,0.8912,-0.2012,18.0054,-43.9453,19.4702,fall_sideways
1063032,0.2266,0.8857,-0.2053,16.7236,-45.1660,19.4092,fall_sideways
1063042,0.2198,0.8755,-0.2164,16.1743,-45.8374,18.6768,fall_sideways
1063052,0.2286,0.8685,-0.2388,15.6860,-46.5698,17.4561,fall_sideways
1063062,0.2329,0.8832,-0.2435,14.8315,-47.1802,12.7563,fall_sideways
1063082,0.2323,0.9319,-0.2345,12.8174,-50.9033,8.1177,fall_sideways
1063092,0.2281,0.9138,-0.2363,12.2070,-52.4902,7.1411,fall_sideways
1063102,0.2316,0.8992,-0.2476,10.1929,-53.2837,6.1035,fall_sideways
1063112,0.2339,0.8915,-0.2500,8.3008,-52.7344,5.3711,fall_sideways
1063122,0.2355,0.8831,-0.2452,6.8970,-49.3164,3.6011,fall_sideways
1063132,0.2357,0.9158,-0.2367,6.8970,-47.5464,2.6245,fall_sideways
1063142,0.2397,0.9409,-0.2321,7.6294,-46.2646,1.0986,fall_sideways
1063152,0.2371,0.9723,-0.2240,8.4839,-45.4102,-0.3662,fall_sideways
1063162,0.2365,1.0051,-0.2257,8.7280,-44.6777,-1.1597,fall_sideways
1063172,0.2327,1.0322,-0.2340,7.9346,-44.7998,-1.7700,fall_sideways
1063182,0.2306,1.0542,-0.2413,4.1504,-44.7998,-2.0142,fall_sideways
1063192,0.2136,1.0548,-0.2501,2.4414,-44.1284,-1.7090,fall_sideways
1063202,0.2051,1.0433,-0.2294,1.8921,-42.6025,-1.4648,fall_sideways
1063212,0.1997,1.0190,-0.1865,3.0518,-40.6494,-1.5869,fall_sideways
1063222,0.1953,0.9904,-0.1407,4.8828,-38.4521,-1.5869,fall_sideways
1063232,0.1978,0.9608,-0.0907,6.5918,-36.0718,-1.4648,fall_sideways
1063242,0.1935,0.9175,-0.0062,9.0942,-31.6162,-0.7324,fall_sideways
1063252,0.1906,0.8882,0.0186,9.7046,-30.0903,1.0376,fall_sideways
1063262,0.1711,0.8719,0.0452,9.0942,-28.9917,3.2959,fall_sideways
1063272,0.1414,0.8629,0.0610,7.5684,-28.1982,5.7373,fall_sideways
1063282,0.1176,0.8604,0.0627,5.3711,-27.0996,8.0566,fall_sideways
1063292,0.0937,0.8669,0.0527,3.3569,-23.9258,12.6343,fall_sideways
1063312,0.0299,0.8450,-0.0123,-2.1973,-18.5547,15.7471,fall_sideways
1063322,0.0366,0.8365,-0.0414,-4.8218,-15.3809,16.5405,fall_sideways
1063332,0.0529,0.8224,-0.0831,-6.8970,-12.2681,16.9678,fall_sideways
1063342,0.0811,0.8184,-0.1230,-8.1177,-9.0332,17.2119,fall_sideways
1063352,0.1139,0.8188,-0.1445,-10.4370,-3.5400,17.5171,fall_sideways
1063362,0.1698,0.8259,-0.1641,-11.7798,-2.1973,18.3105,fall_sideways
1063372,0.1879,0.8383,-0.1620,-13.4277,-1.2817,19.1040,fall_sideways
1063382,0.2001,0.8472,-0.1726,-14.9536,-1.4038,19.7754,fall_sideways
1063392,0.2086,0.8594,-0.1875,-14.8926,-2.5024,19.8364,fall_sideways
