timestamp_ms,ax,ay,az,gx,gy,gz,label
2554250,-0.8259,-0.4950,0.2443,-3.7231,0.1221,-0.1221,idle
2554260,-0.8253,-0.4960,0.2448,-4.0894,0.3662,-0.3662,idle
2554270,-0.8257,-0.4969,0.2461,-4.5166,0.5493,-0.4883,idle
2554280,-0.8286,-0.4961,0.2502,-5.4321,0.5493,-0.6104,idle
2554290,-0.8326,-0.4966,0.2563,-7.5073,0.8545,-0.9155,idle
2554300,-0.8281,-0.4912,0.2478,-7.5073,0.5493,-0.7935,idle
2554310,-0.8253,-0.4922,0.2448,-6.5918,-0.1831,-0.5493,idle
2554320,-0.8229,-0.4907,0.2446,-5.1270,-0.7324,-0.3662,idle
2554330,-0.8243,-0.4941,0.2476,-4.1504,-0.7324,-0.1831,idle
2554340,-0.8252,-0.4972,0.2493,-3.4790,-0.3052,-0.2441,idle
2554350,-0.8269,-0.5001,0.2529,-2.4414,-0.0610,-0.1831,idle
2554360,-0.8248,-0.5005,0.2506,-2.1973,-0.3662,0.0000,idle
2554370,-0.8229,-0.5005,0.2504,-2.0142,-0.4272,-0.2441,idle
2554380,-0.8217,-0.4994,0.2496,-1.7700,-0.7935,-0.2441,idle
2554390,-0.8224,-0.5006,0.2502,-1.5259,-1.7090,-0.0610,idle
2554400,-0.8223,-0.5006,0.2495,-1.6479,-1.6479,0.0000,idle
2554420,-0.8223,-0.5005,0.2502,-1.7700,-1.8921,0.4883,idle
2554430,-0.8224,-0.5005,0.2493,-1.8921,-1.4648,0.5493,idle
2554440,-0.8237,-0.5005,0.2483,-2.0142,-1.1597,0.5493,idle
2554450,-0.8243,-0.5006,0.2483,-1.8311,-1.2207,0.7324,idle
2554460,-0.8239,-0.5007,0.2500,-1.2817,-2.5024,1.1597,idle
2554470,-0.8268,-0.5043,0.2467,-1.4038,-2.8076,1.2817,idle
2554480,-0.8257,-0.5033,0.2443,-1.6479,-2.3804,1.2817,idle
2554490,-0.8241,-0.5006,0.2485,-1.8311,-2.3193,1.2207,idle
2554500,-0.8275,-0.5009,0.2467,-1.4038,-3.2349,1.5259,idle
2554510,-0.8293,-0.5006,0.2466,-1.7090,-2.3804,1.3428,idle
2554520,-0.8318,-0.5004,0.2461,-1.7090,-1.7700,0.9766,idle
2554530,-0.8303,-0.4972,0.2484,-1.8921,-1.0986,0.6104,idle
2554540,-0.8291,-0.4952,0.2480,-1.5869,-0.6104,0.3662,idle
2554550,-0.8295,-0.4955,0.2449,-0.6714,-0.8545,0.5493,idle
2554560,-0.8307,-0.4962,0.2440,-0.3662,-0.7935,0.3052,idle
2554570,-0.8296,-0.4955,0.2457,-0.4272,0.0610,0.1221,idle
2554580,-0.8278,-0.4943,0.2462,-0.5493,0.3052,-0.3052,idle
2554590,-0.8253,-0.4933,0.2485,-0.6104,0.6104,-0.3662,idle
2554600,-0.8270,-0.4929,0.2485,-0.1221,0.1221,-0.6104,idle
2554610,-0.8296,-0.4929,0.2458,-0.1221,0.1831,-0.8545,idle
2554620,-0.8269,-0.4901,0.2483,-0.0610,0.5493,-0.9155,idle
