timestamp_ms,ax,ay,az,gx,gy,gz,label
390160,-0.3634,0.8906,0.2208,0.4272,-0.3052,-0.3662,idle
390170,-0.3630,0.8896,0.2201,0.4272,-0.4272,-0.4272,idle
390180,-0.3625,0.8893,0.2214,0.3662,-0.4883,-0.6714,idle
390190,-0.3604,0.8868,0.2197,0.3052,-0.4883,-0.7935,idle
390200,-0.3599,0.8853,0.2191,0.2441,-0.3052,-0.7935,idle
390210,-0.3602,0.8849,0.2184,0.3662,-0.1831,-0.6714,idle
390220,-0.3605,0.8860,0.2184,0.3662,-0.1221,-0.5493,idle
390230,-0.3613,0.8877,0.2197,0.3662,-0.0610,-0.5493,idle
390240,-0.3621,0.8853,0.2180,0.2441,-0.0610,-0.6714,idle
390250,-0.3615,0.8871,0.2208,0.4883,-0.1221,-0.6714,idle
390260,-0.3613,0.8870,0.2195,0.6104,-0.0610,-0.7324,idle
390270,-0.3608,0.8864,0.2202,0.5493,-0.0610,-0.6714,idle
390280,-0.3602,0.8873,0.2222,0.5493,-0.3662,-0.7324,idle
390290,-0.3594,0.8868,0.2213,0.6714,-0.6714,-0.9155,idle
390300,-0.3596,0.8881,0.2227,0.6104,-0.4883,-0.8545,idle
390320,-0.3611,0.8875,0.2202,0.1831,-0.2441,-0.7935,idle
390330,-0.3597,0.8867,0.2201,0.1221,-0.3662,-0.7324,idle
390340,-0.3612,0.8867,0.2197,0.1221,-0.4272,-0.7324,idle
390350,-0.3623,0.8868,0.2189,0.2441,-0.2441,-0.7324,idle
390360,-0.3617,0.8854,0.2179,0.3662,-0.2441,-0.6714,idle
390370,-0.3605,0.8871,0.2173,0.3662,-0.1221,-0.6714,idle
390380,-0.3605,0.8865,0.2186,0.6714,-0.1221,-0.7324,idle
390390,-0.3606,0.8855,0.2195,0.7324,0.0610,-0.7324,idle
390400,-0.3621,0.8844,0.2213,0.7935,0.0000,-0.6104,idle
390410,-0.3611,0.8866,0.2223,0.7935,-0.0610,-0.5493,idle
390420,-0.3622,0.8896,0.2229,0.4883,0.0610,-0.7324,idle
390430,-0.3613,0.8882,0.2231,0.3052,-0.1221,-0.7324,idle
390440,-0.3621,0.8872,0.2244,0.1221,-0.1221,-0.7935,idle
390450,-0.3616,0.8864,0.2218,0.2441,-0.1831,-0.7324,idle
390460,-0.3613,0.8862,0.2213,0.2441,-0.3052,-0.7324,idle
390470,-0.3615,0.8870,0.2202,0.2441,-0.4272,-0.7324,idle
390490,-0.3606,0.8866,0.2179,0.4272,-0.2441,-0.6714,idle
390500,-0.3610,0.8866,0.2177,0.6104,-0.0610,-0.6714,idle
390510,-0.3617,0.8865,0.2194,0.7324,-0.1221,-0.7324,idle
390520,-0.3615,0.8856,0.2197,0.8545,-0.0610,-0.7324,idle
390530,-0.3611,0.8865,0.2206,0.7935,-0.1221,-0.7324,idle
390540,-0.3617,0.8865,0.2217,0.5493,-0.0610,-0.7935,idle
390550,-0.3613,0.8866,0.2214,0.5493,0.0000,-0.7324,idle
390560,-0.3607,0.8875,0.2217,0.4883,-0.1221,-0.7324,idle
390570,-0.3610,0.8867,0.2213,0.3662,-0.3052,-0.7324,idle
390580,-0.3605,0.8873,0.2202,0.2441,-0.3052,-0.7324,idle
390590,-0.3601,0.8864,0.2200,0.1831,-0.3052,-0.8545,idle
390600,-0.3610,0.8866,0.2195,0.1221,-0.2441,-0.7935,idle
390610,-0.3606,0.8877,0.2194,0.4883,-0.2441,-0.8545,idle
390620,-0.3602,0.8873,0.2187,0.6714,-0.1831,-0.8545,idle
390630,-0.3618,0.8889,0.2202,0.6714,-0.1831,-0.7935,idle
390640,-0.3610,0.8866,0.2197,0.6104,-0.1831,-0.7324,idle
390650,-0.3608,0.8873,0.2213,0.6104,0.0000,-0.7935,idle
390660,-0.3597,0.8876,0.2219,0.6104,-0.0610,-0.7324,idle
390670,-0.3597,0.8868,0.2217,0.7324,0.0000,-0.7935,idle
390680,-0.3604,0.8873,0.2241,0.6104,0.1221,-0.9155,idle
390690,-0.3607,0.8864,0.2228,0.3662,0.0000,-0.9155,idle
390700,-0.3608,0.8861,0.2238,0.4272,-0.4272,-0.6104,idle
390710,-0.3597,0.8861,0.2223,0.4883,-0.3052,-0.6104,idle
390720,-0.3591,0.8862,0.2222,0.3662,-0.1221,-0.6714,idle
390730,-0.3580,0.8864,0.2219,0.2441,-0.0610,-0.7324,idle
390740,-0.3579,0.8854,0.2203,0.0610,-0.1831,-0.8545,idle
390750,-0.3579,0.8865,0.2216,0.3052,-0.0610,-0.7324,idle
390760,-0.3588,0.8861,0.2213,0.1831,0.1221,-0.7935,idle
390770,-0.3604,0.8876,0.2230,0.1831,0.1221,-0.6104,idle
390780,-0.3597,0.8875,0.2208,0.2441,-0.1221,-0.5493,idle
390790,-0.3605,0.8887,0.2211,0.1831,-0.1221,-0.6104,idle
390800,-0.3604,0.8881,0.2209,0.2441,0.0610,-0.6104,idle
390810,-0.3599,0.8877,0.2216,0.1221,0.0000,-0.5493,idle
390820,-0.3597,0.8861,0.2200,-0.0610,0.2441,-0.6104,idle
390830,-0.3601,0.8843,0.2200,-0.1831,0.1221,-0.6104,idle
390840,-0.3602,0.8861,0.2202,-0.1221,0.1221,-0.6104,idle
390850,-0.3610,0.8878,0.2198,0.0000,0.1831,-0.3052,idle
390860,-0.3621,0.8887,0.2195,-0.1221,-0.1221,-0.3052,idle
390870,-0.3634,0.8903,0.2206,-0.1221,-0.0610,-0.4883,idle
390890,-0.3641,0.8876,0.2195,0.0610,-0.3052,-0.7324,idle
390900,-0.3634,0.8864,0.2192,0.1221,-0.4883,-0.7324,idle
390910,-0.3632,0.8856,0.2177,0.1831,-0.5493,-0.7324,idle
390920,-0.3624,0.8850,0.2169,0.4272,-0.5493,-0.6714,idle
390930,-0.3622,0.8865,0.2175,0.2441,-0.0610,-0.7324,idle
390940,-0.3615,0.8861,0.2201,0.1221,0.1221,-0.6714,idle
390950,-0.3611,0.8856,0.2205,0.3052,0.3052,-0.6714,idle
390960,-0.3612,0.8859,0.2205,0.4272,0.2441,-0.7324,idle
390970,-0.3612,0.8860,0.2206,0.2441,0.1221,-0.6104,idle
390980,-0.3611,0.8870,0.2200,0.2441,-0.1221,-0.7324,idle
390990,-0.3599,0.8868,0.2220,0.2441,-0.4883,-0.7324,idle
391000,-0.3612,0.8866,0.2213,0.0610,-0.4883,-0.6714,idle
391010,-0.3606,0.8864,0.2223,0.0610,-0.3052,-0.7324,idle
391020,-0.3607,0.8864,0.2217,0.1221,-0.4883,-0.7935,idle
391030,-0.3613,0.8878,0.2214,0.0000,-0.4272,-0.7324,idle
391040,-0.3604,0.8867,0.2218,-0.1221,-0.3662,-0.7324,idle
391060,-0.3606,0.8888,0.2195,-0.0610,-0.0610,-0.8545,idle
391070,-0.3594,0.8879,0.2186,-0.1221,0.0000,-0.7324,idle
391080,-0.3595,0.8892,0.2179,-0.1831,-0.0610,-0.6714,idle
391090,-0.3582,0.8871,0.2184,-0.2441,-0.1831,-0.7324,idle
391100,-0.3597,0.8859,0.2189,-0.1831,-0.0610,-0.5493,idle
391110,-0.3619,0.8856,0.2198,-0.1221,-0.1221,-0.3662,idle
391120,-0.3633,0.8867,0.2202,-0.1831,-0.2441,-0.3662,idle
391130,-0.3638,0.8904,0.2200,-0.2441,-0.3052,-0.4272,idle
391140,-0.3645,0.8892,0.2201,-0.2441,-0.4883,-0.4883,idle
391150,-0.3628,0.8878,0.2206,-0.1221,-0.4272,-0.4272,idle
391160,-0.3633,0.8868,0.2184,-0.0610,-0.3052,-0.5493,idle
391170,-0.3615,0.8876,0.2177,0.1831,-0.3662,-0.5493,idle
391180,-0.3607,0.8882,0.2169,0.1221,-0.2441,-0.6714,idle
391190,-0.3615,0.8883,0.2162,0.0000,-0.1221,-0.7935,idle
391200,-0.3588,0.8879,0.2155,0.0610,-0.0610,-0.7324,idle
391210,-0.3596,0.8882,0.2164,0.1221,0.1221,-0.7324,idle
391230,-0.3590,0.8866,0.2157,0.3662,0.0000,-0.7935,idle
391240,-0.3595,0.8857,0.2163,0.3662,-0.0610,-0.7935,idle
391250,-0.3601,0.8872,0.2180,0.4272,-0.1221,-0.7935,idle
391260,-0.3599,0.8872,0.2183,0.4883,0.0000,-0.7324,idle
391270,-0.3610,0.8873,0.2201,0.3662,-0.1221,-0.7324,idle
391280,-0.3601,0.8871,0.2201,0.2441,-0.1831,-0.9155,idle
391290,-0.3601,0.8873,0.2200,0.2441,-0.1831,-0.8545,idle
391300,-0.3600,0.8881,0.2191,0.3052,-0.2441,-0.7935,idle
391310,-0.3600,0.8877,0.2185,0.1831,-0.0610,-0.7935,idle
391320,-0.3591,0.8881,0.2183,0.3662,-0.0610,-0.7935,idle
391330,-0.3593,0.8871,0.1875,0.2441,-0.1831,-0.8545,idle
391340,-0.3612,0.8876,0.2187,0.4272,-0.3052,-0.8545,idle
391350,-0.3616,0.8875,0.2196,0.3662,-0.2441,-0.7935,idle
391360,-0.3611,0.8873,0.2195,0.2441,-0.2441,-0.7324,idle
391370,-0.3610,0.8872,0.2198,0.0610,-0.1831,-0.7324,idle
391380,-0.3610,0.8864,0.2219,0.2441,-0.1831,-0.8545,idle
391390,-0.3611,0.8877,0.2207,-0.0610,-0.3052,-0.8545,idle
391400,-0.3608,0.8873,0.2195,0.0000,-0.2441,-0.7324,idle
391410,-0.3599,0.8879,0.2186,0.0610,-0.3052,-0.7324,idle
391420,-0.3583,0.8887,0.2177,-0.0610,-0.2441,-0.6714,idle
391430,-0.3596,0.8883,0.2172,-0.1221,-0.3052,-0.7935,idle
391440,-0.3566,0.8881,0.2164,-0.0610,-0.3662,-0.7324,idle
391460,-0.3575,0.8898,0.2147,0.0000,-0.1221,-0.6104,idle
391470,-0.3583,0.8894,0.2161,0.1221,-0.1831,-0.6104,idle
391480,-0.3596,0.8879,0.2177,0.0610,-0.1831,-0.5493,idle
391490,-0.3594,0.8855,0.2179,0.0000,-0.3052,-0.6714,idle
391500,-0.3605,0.8855,0.2179,0.0610,-0.4272,-0.5493,idle
391510,-0.3629,0.8871,0.2191,-0.0610,-0.4883,-0.5493,idle
391520,-0.3629,0.8889,0.2187,0.0000,-0.5493,-0.5493,idle
391530,-0.3639,0.8912,0.2179,0.0000,-0.5493,-0.5493,idle
391540,-0.3634,0.8916,0.2168,0.0000,-0.7324,-0.7324,idle
391550,-0.3633,0.8918,0.2162,0.0000,-0.6714,-0.7935,idle
391560,-0.3625,0.8898,0.2144,0.0610,-0.7324,-0.7935,idle
391570,-0.3600,0.8872,0.2135,0.2441,-0.8545,-0.9155,idle
391580,-0.3596,0.8892,0.2133,0.2441,-0.6714,-0.7935,idle
391590,-0.3595,0.8873,0.2135,0.2441,-0.6104,-0.8545,idle
391600,-0.3589,0.8871,0.2144,0.4272,-0.2441,-0.6104,idle
391610,-0.3591,0.8875,0.2151,0.6104,-0.0610,-0.6714,idle
391630,-0.3616,0.8865,0.2166,0.6104,-0.0610,-0.6714,idle
391640,-0.3628,0.8859,0.2173,0.6104,-0.1831,-0.7324,idle
391650,-0.3618,0.8865,0.2184,0.5493,-0.3052,-0.7324,idle
391660,-0.3622,0.8864,0.2175,0.6104,-0.5493,-0.7935,idle
391670,-0.3611,0.8877,0.2173,0.3662,-0.4883,-0.8545,idle
391680,-0.3599,0.8876,0.2170,0.3662,-0.5493,-0.8545,idle
391690,-0.3602,0.8899,0.2175,0.2441,-0.4883,-0.7935,idle
391700,-0.3596,0.8904,0.2166,0.3662,-0.3052,-0.7324,idle
391710,-0.3588,0.8888,0.2159,0.3052,-0.1221,-0.6714,idle
391720,-0.3589,0.8894,0.2155,0.5493,-0.0610,-0.6104,idle
391730,-0.3578,0.8899,0.2151,0.5493,-0.2441,-0.7324,idle
391740,-0.3572,0.8887,0.2151,0.4272,-0.0610,-0.7324,idle
391750,-0.3590,0.8871,0.2164,0.6714,-0.0610,-0.7324,idle
391760,-0.3602,0.8848,0.2172,0.7935,0.0000,-0.6104,idle
391770,-0.3607,0.8854,0.2172,0.6714,0.0000,-0.5493,idle
391780,-0.3608,0.8866,0.2178,0.6714,0.0610,-0.5493,idle
391800,-0.3606,0.8894,0.2184,0.2441,0.0000,-0.6104,idle
391810,-0.3612,0.8881,0.2190,0.3052,-0.2441,-0.6104,idle
391820,-0.3612,0.8875,0.2175,0.4883,-0.1831,-0.6714,idle
391830,-0.3606,0.8867,0.2179,0.6714,0.0000,-0.7324,idle
391840,-0.3616,0.8871,0.2166,0.5493,-0.0610,-0.7324,idle
391860,-0.3597,0.8890,0.2158,0.4272,-0.0610,-0.6714,idle
391870,-0.3593,0.8888,0.2161,0.6104,-0.1221,-0.7324,idle
391880,-0.3597,0.8873,0.2148,0.7324,-0.1221,-0.6714,idle
391890,-0.3596,0.8868,0.2152,0.6714,-0.3052,-0.7935,idle
391900,-0.3588,0.8873,0.2151,0.7935,-0.3662,-0.6714,idle
391910,-0.3594,0.8870,0.2169,0.8545,-0.2441,-0.5493,idle
391920,-0.3591,0.8871,0.2181,0.7324,-0.2441,-0.7324,idle
391930,-0.3599,0.8879,0.2185,0.6104,-0.1831,-0.6714,idle
391940,-0.3594,0.8877,0.2201,0.4883,-0.2441,-0.7324,idle
391950,-0.3599,0.8885,0.2190,0.4272,-0.1221,-0.7324,idle
391960,-0.3608,0.8885,0.2194,0.5493,-0.3052,-0.7324,idle
391970,-0.3600,0.8894,0.2185,0.6104,-0.1221,-0.7935,idle
391980,-0.3613,0.8896,0.2189,0.5493,-0.0610,-0.7324,idle
391990,-0.3589,0.8881,0.2180,0.3662,-0.2441,-0.6714,idle
392000,-0.3605,0.8875,0.2179,0.4883,-0.1221,-0.5493,idle
392010,-0.3613,0.8872,0.2183,0.3662,0.0000,-0.5493,idle
392030,-0.3616,0.8882,0.2198,0.3052,-0.0610,-0.6104,idle
392040,-0.3615,0.8867,0.2186,0.3052,-0.1831,-0.7324,idle
392050,-0.3615,0.8867,0.2183,0.5493,-0.1221,-0.7324,idle
392060,-0.3605,0.8867,0.2184,0.4272,-0.0610,-0.7324,idle
392070,-0.3599,0.8872,0.2183,0.6104,-0.1221,-0.7324,idle
392080,-0.3591,0.8889,0.2179,0.6104,-0.1221,-0.7935,idle
392090,-0.3594,0.8885,0.2163,0.3662,-0.1831,-0.7935,idle
392100,-0.3593,0.8887,0.2166,0.4883,-0.0610,-0.6714,idle
392110,-0.3582,0.8885,0.2158,0.4883,-0.0610,-0.5493,idle
