timestamp_ms,ax,ay,az,gx,gy,gz,label
1491468,-0.7523,0.3173,0.5304,-0.4272,0.1831,-0.7324,sitting
1491478,-0.7526,0.3154,0.5291,-0.0610,0.1221,-0.5493,sitting
1491488,-0.7526,0.3129,0.5308,0.3052,0.2441,-0.3662,sitting
1491498,-0.7550,0.3099,0.5345,-0.1831,0.4883,-0.1221,sitting
1491508,-0.7548,0.3118,0.5360,-0.7935,0.7935,0.2441,sitting
1491518,-0.7600,0.3138,0.5365,-1.4038,1.2817,0.6104,sitting
1491528,-0.7626,0.3129,0.5394,-1.3428,1.4648,0.6714,sitting
1491538,-0.7664,0.3179,0.5403,-0.1831,1.6479,0.5493,sitting
1491548,-0.7585,0.3198,0.5356,2.6855,1.6479,-0.1831,sitting
1491558,-0.7452,0.3204,0.5352,3.3569,1.3428,-0.6104,sitting
1491568,-0.7412,0.3195,0.5363,4.8828,1.4038,-0.8545,sitting
1491578,-0.7356,0.3159,0.5337,4.7607,1.0376,-0.9766,sitting
1491588,-0.7394,0.3127,0.5376,3.4790,0.3052,-0.8545,sitting
1491598,-0.7416,0.3055,0.5380,2.2583,0.0000,-0.6104,sitting
1491618,-0.7563,0.3062,0.5450,0.0000,-0.6104,-0.7935,sitting
1491628,-0.7583,0.3107,0.5466,-0.3052,-0.6714,-0.6714,sitting
1491638,-0.7612,0.3080,0.5474,0.6714,-0.4272,-0.4883,sitting
1491648,-0.7578,0.3065,0.5480,0.9766,-0.2441,-0.6104,sitting
1491658,-0.7559,0.3081,0.5483,1.2207,-0.0610,-0.4883,sitting
1491668,-0.7506,0.3069,0.5481,1.3428,0.0000,-0.3662,sitting
1491678,-0.7494,0.3071,0.5477,1.0986,0.1221,-0.3052,sitting
1491688,-0.7499,0.3076,0.5468,1.0376,0.1221,-0.3052,sitting
1491698,-0.7479,0.3068,0.5452,0.9766,-0.1831,-0.3662,sitting
1491708,-0.7472,0.3076,0.5432,1.0376,-0.3052,-0.3052,sitting
1491718,-0.7495,0.3065,0.5405,0.9766,-0.7324,-0.5493,sitting
1491728,-0.7515,0.3048,0.5397,1.0986,-0.9766,-0.7324,sitting
1491738,-0.7535,0.3046,0.5391,1.2817,-0.9766,-0.8545,sitting
1491748,-0.7560,0.3040,0.5400,1.5259,-0.9155,-0.8545,sitting
1491758,-0.7581,0.3025,0.5393,1.9531,-0.9766,-0.9766,sitting
1491768,-0.7612,0.3037,0.5389,2.5635,-0.7324,-1.1597,sitting
1491778,-0.7626,0.3051,0.5365,2.8687,-0.6104,-1.0986,sitting
1491788,-0.7621,0.3032,0.5348,2.8076,-0.7324,-1.1597,sitting
1491798,-0.7634,0.3048,0.5339,2.3804,-0.8545,-1.1597,sitting
1491808,-0.7627,0.3046,0.5327,2.0142,-0.4883,-1.0376,sitting
