timestamp_ms,ax,ay,az,gx,gy,gz,label
705328,0.1530,0.9637,-0.2053,-12.1460,7.7515,6.8359,stumbling
705338,0.1538,0.9594,-0.2056,-12.1460,8.3008,6.5308,stumbling
705348,0.1542,0.9570,-0.2040,-11.9019,8.7891,5.8594,stumbling
705358,0.1559,0.9521,-0.2032,-11.1694,9.0942,4.2725,stumbling
705378,0.1870,0.9561,-0.2255,-8.4839,11.2915,1.5869,stumbling
705388,0.1949,0.9585,-0.2325,-7.3853,12.5732,0.3052,stumbling
705398,0.1968,0.9648,-0.2365,-6.9580,13.9771,-0.9155,stumbling
705408,0.1919,0.9700,-0.2428,-7.2021,15.0146,-1.2817,stumbling
705418,0.1812,0.9727,-0.2455,-8.1177,17.5171,-1.2817,stumbling
705428,0.1680,0.9769,-0.2504,-8.1177,18.9209,-1.1597,stumbling
705438,0.1609,0.9807,-0.2537,-7.3242,20.4468,-0.6714,stumbling
705448,0.1503,0.9806,-0.2488,-6.4087,21.6675,0.0000,stumbling
705458,0.1411,0.9772,-0.2354,-5.6763,22.2778,0.7324,stumbling
705468,0.1415,0.9725,-0.2228,-5.6763,22.0337,1.3428,stumbling
705478,0.1498,0.9705,-0.2125,-5.6763,19.7144,1.2207,stumbling
705498,0.1627,0.9497,-0.2126,-5.7373,17.5171,-0.6714,stumbling
705508,0.1497,0.9390,-0.2280,-6.6528,17.6392,-0.9766,stumbling
705518,0.1273,0.9285,-0.2461,-7.8735,18.0664,-0.7324,stumbling
705528,0.1080,0.9265,-0.2635,-8.9111,18.9819,-0.3662,stumbling
705538,0.0875,0.9474,-0.2900,-9.3994,21.9727,-0.9155,stumbling
705548,0.0902,0.9604,-0.2997,-8.9722,23.7427,-1.8921,stumbling
705558,0.1005,0.9688,-0.3069,-8.4839,24.7803,-3.3569,stumbling
705568,0.1177,0.9706,-0.3116,-7.7515,24.7192,-4.5776,stumbling
705578,0.1422,0.9700,-0.3105,-6.5918,23.6816,-4.8218,stumbling
705588,0.1666,0.9653,-0.3055,-5.1270,19.3481,-3.1738,stumbling
705608,0.1904,0.9540,-0.2600,-1.4648,15.7471,-1.2207,stumbling
705618,0.1808,0.9526,-0.2544,-0.6104,14.5874,-0.7324,stumbling
705628,0.1709,0.9547,-0.2554,0.4272,14.1602,-0.6714,stumbling
705638,0.1572,0.9623,-0.2605,1.2817,14.1602,-1.0986,stumbling
705648,0.1405,0.9662,-0.2676,2.9297,13.6108,-2.4414,stumbling
705658,0.0964,0.9579,-0.2892,3.5400,12.8784,-2.9907,stumbling
705668,0.0837,0.9530,-0.2943,3.9062,11.7187,-3.2349,stumbling
705678,0.0863,0.9536,-0.2944,4.6387,10.4980,-3.3569,stumbling
705688,0.0986,0.9576,-0.2882,5.5542,9.4604,-3.4790,stumbling
705698,0.1218,0.9663,-0.2734,6.7139,8.7280,-3.4180,stumbling
705708,0.1819,0.9642,-0.2373,10.4370,9.3384,-3.8452,stumbling
705718,0.2097,0.9547,-0.2288,12.1460,10.4980,-4.0894,stumbling
705728,0.2302,0.9432,-0.2205,13.3057,11.3525,-4.5166,stumbling
705738,0.2390,0.9386,-0.2157,13.3057,11.5356,-4.6997,stumbling
705748,0.2433,0.9445,-0.2103,12.5122,10.7422,-4.7607,stumbling
705758,0.2430,0.9565,-0.2090,10.9253,8.9722,-4.7607,stumbling
705778,0.2448,0.9769,-0.1691,6.4697,2.9907,-5.6763,stumbling
705788,0.2430,0.9771,-0.1531,5.3101,2.9907,-5.4932,stumbling
705798,0.2385,0.9756,-0.1393,4.3945,4.0894,-4.8218,stumbling
705808,0.2273,0.9666,-0.1392,3.7231,5.6763,-3.6621,stumbling
705818,0.2112,0.9561,-0.1576,1.6479,9.0942,-1.0376,stumbling
705828,0.1682,0.9464,-0.2300,-0.4272,9.2773,0.6104,stumbling
705838,0.1522,0.9464,-0.2694,-2.7466,7.8735,2.2583,stumbling
705848,0.1389,0.9513,-0.3068,-4.3945,6.1035,3.4790,stumbling
705858,0.1370,0.9536,-0.3413,-4.9438,3.5400,3.9062,stumbling
705868,0.1392,0.9526,-0.3674,-4.6997,1.2817,4.0894,stumbling
705878,0.1499,0.9094,-0.3456,-2.7466,-0.9155,4.2114,stumbling
705888,0.1768,0.9086,-0.3112,-0.9766,-0.2441,4.2725,stumbling
705898,0.1913,0.9060,-0.2792,1.1597,1.0986,4.5776,stumbling
705908,0.1995,0.9065,-0.2505,2.9297,2.2583,4.2114,stumbling
705918,0.2008,0.9139,-0.2236,3.8452,2.8076,3.1128,stumbling
705928,0.2001,0.9253,-0.2030,3.6621,2.8687,0.8545,stumbling
705948,0.2035,0.9622,-0.1866,-1.2207,-3.5400,-0.7935,stumbling
