timestamp_ms,ax,ay,az,gx,gy,gz,label
929713,0.1382,0.9431,0.0912,-10.1929,-0.9155,-11.2915,upstairs
929723,0.1370,0.9417,0.0905,-10.3760,-0.8545,-10.7422,upstairs
929733,0.1370,0.9408,0.0908,-10.7422,-0.7935,-10.1318,upstairs
929743,0.1350,0.9436,0.0931,-10.9863,-0.4883,-9.7046,upstairs
929753,0.1361,0.9376,0.0825,-11.4136,-0.0610,-9.3384,upstairs
929763,0.1504,0.9313,0.0630,-11.9629,0.3052,-9.5215,upstairs
929783,0.2074,0.9650,0.0317,-13.9771,2.1973,-10.4370,upstairs
929793,0.2325,0.9858,0.0317,-13.1836,2.4414,-10.2539,upstairs
929803,0.2523,1.0129,0.0400,-12.2070,2.5024,-10.1929,upstairs
929813,0.2565,1.0415,0.0553,-10.9253,2.1362,-9.5825,upstairs
929823,0.2523,1.0707,0.0665,-7.9956,1.0986,-7.6904,upstairs
929833,0.2329,1.1005,0.0834,-6.8359,0.6104,-6.5918,upstairs
929843,0.2239,1.1300,0.0900,-6.7749,0.2441,-5.1880,upstairs
929853,0.2153,1.1771,0.0858,-7.2632,-0.4883,-4.3945,upstairs
929863,0.2040,1.2151,0.0746,-8.0566,-1.5259,-4.2114,upstairs
929873,0.1949,1.2397,0.0522,-8.8501,-1.4648,-4.1504,upstairs
929883,0.1954,1.2598,0.0217,-9.8877,0.4883,-5.4321,upstairs
929903,0.2595,1.2908,0.0214,-8.7280,2.9907,-7.0190,upstairs
929913,0.2921,1.2983,0.0310,-8.4839,2.8687,-7.9956,upstairs
929923,0.3196,1.3047,0.0392,-7.9956,2.1973,-8.7891,upstairs
929933,0.3357,1.3108,0.0416,-7.8125,1.1597,-9.0942,upstairs
929943,0.3439,1.2955,0.0273,-11.2915,0.5493,-7.8735,upstairs
929953,0.3347,1.2814,0.0188,-13.8550,1.9531,-7.2021,upstairs
929963,0.3270,1.2612,-0.0122,-16.2354,4.2114,-6.5308,upstairs
929973,0.3245,1.2388,-0.0586,-17.7002,6.4697,-5.6152,upstairs
929983,0.3219,1.2031,-0.0978,-18.4937,8.3008,-4.9438,upstairs
929993,0.3223,1.1576,-0.1243,-19.3481,12.3291,-3.1738,upstairs
930013,0.2749,0.9532,-0.1906,-20.8740,16.4185,-1.2817,upstairs
930023,0.2562,0.8805,-0.2086,-21.3013,18.6157,-0.6104,upstairs
930033,0.2374,0.8214,-0.2354,-21.4844,20.9351,0.3662,upstairs
930043,0.2179,0.7878,-0.2644,-21.6675,23.8037,0.9766,upstairs
930053,0.2058,0.7787,-0.2833,-19.8975,29.9072,1.1597,upstairs
930063,0.1873,0.7894,-0.3063,-17.6392,32.0435,2.6245,upstairs
930073,0.1936,0.7983,-0.3116,-13.0615,32.7759,4.1504,upstairs
930083,0.2061,0.8285,-0.3070,-8.7891,32.6538,6.4697,upstairs
930093,0.2234,0.8539,-0.2972,-5.1880,31.6162,9.9487,upstairs
930103,0.2450,0.8798,-0.2802,-2.0142,30.0293,13.0005,upstairs
930113,0.3019,0.9508,-0.2150,1.3428,23.8037,18.5547,upstairs
930123,0.2860,0.9655,-0.1898,1.0986,20.0195,20.9961,upstairs
930133,0.2811,0.9733,-0.1698,0.2441,15.9302,22.7661,upstairs
930143,0.2720,0.9700,-0.1572,-1.0986,11.6577,24.2310,upstairs
930153,0.2549,0.9579,-0.1504,-3.1738,7.3242,25.3296,upstairs
