timestamp_ms,ax,ay,az,gx,gy,gz,label
284632,0.0900,0.9841,0.0135,0.7324,2.5635,-0.6714,walking
284642,0.0896,0.9850,0.0129,0.6714,2.8076,-0.7324,walking
284662,0.0837,0.9824,0.0135,-0.0610,3.4180,-0.7935,walking
284672,0.0828,0.9812,0.0132,-0.2441,3.5400,-0.6714,walking
284682,0.0823,0.9814,0.0128,-0.3662,3.5400,-0.7324,walking
284692,0.0792,0.9838,0.0117,-0.3052,3.4180,-0.8545,walking
284702,0.0774,0.9852,0.0107,-0.2441,3.7231,-1.2207,walking
284712,0.0745,0.9885,0.0107,0.0000,4.1504,-1.2207,walking
284722,0.0763,0.9849,0.0127,0.0610,4.2725,-1.2817,walking
284732,0.0770,0.9847,0.0149,0.0610,4.5776,-1.4038,walking
284742,0.0779,0.9810,0.0159,-0.0610,4.5166,-1.4038,walking
284752,0.0773,0.9807,0.0162,-0.1221,4.6387,-1.6479,walking
284762,0.0742,0.9808,0.0148,-0.4272,5.1880,-1.8921,walking
284772,0.0712,0.9810,0.0144,-0.4883,5.5542,-1.8311,walking
284782,0.0703,0.9803,0.0121,-0.6104,5.7373,-1.9531,walking
284792,0.0713,0.9797,0.0103,-0.6104,6.1035,-2.3193,walking
284802,0.0739,0.9761,0.0092,-0.6714,6.4697,-2.5635,walking
284812,0.0750,0.9779,0.0088,-0.8545,6.8359,-2.7466,walking
284822,0.0760,0.9808,0.0066,-1.5259,7.5684,-3.4790,walking
284832,0.0758,0.9818,0.0038,-1.7700,7.7515,-3.7231,walking
284842,0.0778,0.9817,0.0017,-1.6479,7.9346,-3.7231,walking
284852,0.0796,0.9811,0.0006,-1.5259,7.9956,-3.8452,walking
284862,0.0813,0.9850,-0.0016,-1.8311,8.4229,-4.0894,walking
284872,0.0826,0.9863,-0.0010,-1.9531,9.0942,-4.3945,walking
284882,0.0854,0.9897,-0.0050,-1.5259,9.5215,-4.6997,walking
284892,0.0874,0.9897,-0.0055,-1.6479,9.7656,-5.0659,walking
284902,0.0890,0.9883,-0.0045,-1.7090,9.8267,-5.4321,walking
284912,0.0924,0.9856,-0.0048,-1.9531,10.1929,-5.4932,walking
284922,0.0933,0.9863,-0.0048,-2.1362,10.3149,-5.6763,walking
284932,0.0961,0.9847,-0.0066,-2.6245,10.3149,-5.9204,walking
284942,0.1014,0.9865,-0.0057,-2.7466,10.2539,-6.1646,walking
284952,0.1023,0.9860,-0.0049,-2.8076,9.9487,-6.3477,walking
284962,0.1024,0.9884,-0.0062,-3.1128,9.9487,-6.3477,walking
284972,0.1033,0.9866,-0.0066,-3.1738,9.7656,-6.2866,walking
284982,0.1034,0.9879,-0.0061,-3.1128,9.5825,-6.1646,walking
284992,0.1028,0.9888,-0.0039,-2.5024,9.5825,-6.1646,walking
285002,0.1013,0.9855,-0.0046,-2.1362,9.6436,-6.2256,walking
285012,0.0988,0.9829,-0.0032,-1.8311,9.8267,-6.3477,walking
285022,0.0959,0.9819,-0.0011,-1.7090,9.9487,-6.2256,walking
285032,0.0936,0.9830,-0.0007,-1.5869,10.0098,-6.3477,walking
285042,0.0913,0.9845,-0.0015,-1.4648,10.0708,-6.6528,walking
285062,0.0902,0.9877,-0.0037,-1.0986,10.4980,-6.9580,walking
285072,0.0897,0.9872,-0.0037,-1.0376,10.8643,-7.1411,walking
285082,0.0892,0.9872,-0.0037,-0.6714,11.2915,-7.1411,walking
285092,0.0931,0.9861,-0.0039,-0.2441,11.9629,-7.2021,walking
285102,0.0952,0.9863,-0.0049,0.2441,13.1226,-8.1177,walking
285112,0.1034,0.9872,-0.0061,0.7935,13.8550,-8.5449,walking
285122,0.1100,0.9846,-0.0050,1.0376,14.1602,-8.9111,walking
285132,0.1157,0.9861,-0.0055,1.1597,14.4043,-9.1553,walking
285142,0.1257,0.9835,-0.0088,1.4038,14.3433,-9.0942,walking
285152,0.1318,0.9796,-0.0123,1.5259,13.7939,-8.9111,walking
285162,0.1360,0.9758,-0.0168,1.5869,12.8174,-8.4839,walking
285172,0.1410,0.9752,-0.0240,1.4648,12.4512,-8.3618,walking
285182,0.1459,0.9761,-0.0300,1.6479,12.2070,-8.1787,walking
285192,0.1508,0.9794,-0.0320,2.2583,11.9629,-8.1177,walking
285202,0.1534,0.9762,-0.0319,3.1738,11.8408,-7.8735,walking
285212,0.1530,0.9707,-0.0316,3.4790,12.2070,-7.2632,walking
285232,0.1593,0.9458,-0.0325,2.1362,12.3291,-6.7749,walking
285242,0.1649,0.9336,-0.0308,1.4648,11.9019,-6.5918,walking
285252,0.1700,0.9233,-0.0320,1.0376,11.4746,-6.4087,walking
285262,0.1754,0.9150,-0.0317,0.4883,11.1084,-5.9814,walking
285272,0.1792,0.9159,-0.0250,0.4272,10.2539,-4.5776,walking
285282,0.1710,0.9139,0.0009,0.4883,9.7656,-3.9673,walking
285292,0.1635,0.9187,0.0078,-0.3052,8.6670,-3.0518,walking
285302,0.1567,0.9291,0.0087,-1.7090,7.2021,-2.1362,walking
285312,0.1544,0.9493,0.0072,-2.9297,5.8594,-1.4648,walking
285322,0.1588,0.9698,0.0060,-3.4790,4.8828,-1.2817,walking
285332,0.1658,0.9934,-0.0093,-3.6621,4.2114,-1.7090,walking
285342,0.1801,1.0383,-0.0112,-3.4180,4.2725,-2.1973,walking
285352,0.1832,1.0555,-0.0079,-3.0518,4.0894,-2.5024,walking
285362,0.1792,1.0726,-0.0087,-2.7466,3.6621,-2.3804,walking
285372,0.1731,1.0760,-0.0072,-2.5024,2.9907,-1.9531,walking
285382,0.1656,1.0703,-0.0056,-1.6479,2.5635,-1.4648,walking
285402,0.1375,1.0194,0.0155,-0.4272,2.8687,-1.0376,walking
285412,0.1279,0.9958,0.0212,-0.1831,3.8452,-1.0986,walking
285422,0.1201,0.9757,0.0292,-0.1831,4.8218,-1.2817,walking
285432,0.1200,0.9585,0.0392,-0.3052,5.7373,-1.8311,walking
285442,0.1193,0.9462,0.0465,-0.2441,7.9346,-3.0518,walking
285452,0.1172,0.9368,0.0597,-0.3662,9.0332,-3.1738,walking
285462,0.1206,0.9424,0.0569,-0.0610,9.7656,-3.2959,walking
285472,0.1315,0.9528,0.0544,0.5493,10.3760,-3.1128,walking
285482,0.1438,0.9633,0.0464,1.0986,10.8643,-3.0518,walking
285492,0.1534,0.9856,0.0367,1.7090,11.1084,-2.9297,walking
285502,0.1610,0.9969,0.0298,2.4414,12.3291,-2.8076,walking
285512,0.1719,1.0125,0.0194,2.6245,12.6953,-2.5635,walking
285522,0.1748,1.0133,0.0187,2.6855,12.9395,-2.5024,walking
285532,0.1755,1.0093,0.0225,2.6245,12.8174,-2.3804,walking
285542,0.1754,0.9993,0.0234,2.9907,12.4512,-2.3804,walking
285552,0.1743,0.9850,0.0282,3.3569,11.9019,-2.3804,walking
285562,0.1713,0.9592,0.0276,3.6621,10.6812,-3.1738,walking
285572,0.1699,0.9500,0.0311,3.4790,10.1318,-3.5400,walking
285582,0.1694,0.9427,0.0339,3.5400,9.8267,-3.9062,walking
285592,0.1743,0.9393,0.0303,3.5400,9.5825,-4.1504,walking
285602,0.1818,0.9376,0.0254,3.4790,9.2773,-4.3945,walking
285612,0.1833,0.9424,0.0212,3.2959,8.9722,-4.8218,walking
285632,0.1931,0.9574,0.0126,1.9531,8.1177,-5.1270,walking
285642,0.1902,0.9634,0.0148,1.2207,7.5073,-5.0049,walking
285652,0.1852,0.9656,0.0184,0.5493,6.8359,-5.0049,walking
285662,0.1783,0.9642,0.0234,0.3052,5.9204,-4.7607,walking
285672,0.1716,0.9614,0.0232,-0.1221,4.3335,-4.0894,walking
285682,0.1655,0.9534,0.0192,-0.2441,4.1504,-3.9673,walking
285692,0.1659,0.9481,0.0167,-0.2441,4.3335,-3.6621,walking
285702,0.1650,0.9486,0.0148,-0.4883,4.7607,-3.6621,walking
285712,0.1631,0.9552,0.0204,-0.6104,5.6152,-3.7231,walking
285722,0.1649,0.9624,0.0211,-0.6714,6.0425,-3.2959,walking
285732,0.1691,0.9772,0.0046,-0.7935,6.3477,-2.9907,walking
285742,0.1836,0.9844,-0.0045,-0.7935,6.3477,-3.1128,walking
285752,0.1949,0.9894,-0.0093,-0.6714,6.5918,-3.4180,walking
285762,0.2065,0.9978,-0.0039,-0.5493,6.7749,-3.6621,walking
285772,0.2111,1.0079,0.0037,-0.3662,6.6528,-4.0283,walking
285782,0.2129,1.0127,0.0110,-0.3052,5.7373,-4.3945,walking
285802,0.1960,0.9817,0.0366,0.4272,1.7700,-4.9438,walking
285812,0.1797,0.9664,0.0450,0.4272,1.0986,-5.1270,walking
285822,0.1661,0.9521,0.0470,-0.0610,0.6714,-4.8218,walking
285832,0.1576,0.9401,0.0483,-0.3662,0.9766,-4.6387,walking
285842,0.1506,0.9305,0.0468,-1.3428,2.3804,-5.1270,walking
285852,0.1467,0.9249,0.0427,-2.1973,3.5400,-5.5542,walking
285862,0.1476,0.9294,0.0387,-2.7466,4.8218,-5.7983,walking
285872,0.1523,0.9360,0.0371,-2.8687,6.1035,-5.7373,walking
285882,0.1638,0.9353,0.0288,-2.8687,7.0801,-5.4321,walking
285892,0.1713,0.9360,0.0167,-2.8076,7.7515,-5.3711,walking
285902,0.1785,0.9351,0.0022,-3.1738,9.4604,-4.5166,walking
285912,0.1826,0.9215,0.0060,-3.2349,10.8032,-3.6621,walking
285922,0.1813,0.9172,0.0122,-3.5400,11.4746,-2.5635,walking
285932,0.1843,0.9084,0.0186,-3.6011,11.5356,-1.4648,walking
285942,0.1866,0.9022,0.0233,-3.2959,11.0474,-0.7935,walking
285952,0.1871,0.9000,0.0302,-3.0518,10.8032,0.1831,walking
285962,0.1724,0.9019,0.0320,-2.8076,9.7046,2.9297,walking
285972,0.1702,0.9103,0.0300,-2.8687,8.9111,4.4556,walking
285982,0.1730,0.9268,0.0243,-3.1128,8.1787,6.1646,walking
285992,0.1787,0.9506,0.0172,-2.9907,7.9956,7.5684,walking
286002,0.1910,0.9697,-0.0005,-2.4414,8.3618,8.4229,walking
286012,0.2108,0.9946,-0.0249,-1.7700,10.4370,7.9956,walking
286032,0.2708,1.0791,-0.0945,-0.9766,11.5967,5.3101,walking
