timestamp_ms,ax,ay,az,gx,gy,gz,label
1173078,0.1925,0.9263,-0.2833,-0.3052,-2.6245,-1.6479,fall
1173088,0.1862,0.9331,-0.3062,-0.4883,-2.9297,-1.6479,fall
1173098,0.1838,0.9360,-0.3038,-0.6104,-2.9907,-1.6479,fall
1173108,0.1844,0.9395,-0.3005,-0.6714,-3.0518,-1.6479,fall
1173118,0.1857,0.9431,-0.2969,-0.6714,-2.7466,-1.7090,fall
1173128,0.1855,0.9460,-0.2920,-0.4883,-2.6245,-1.8921,fall
1173138,0.1865,0.9476,-0.2787,0.0000,-2.5635,-2.4414,fall
1173148,0.1875,0.9452,-0.2720,-0.2441,-2.7466,-2.3193,fall
1173158,0.1887,0.9429,-0.2676,-0.5493,-2.8687,-2.1362,fall
1173168,0.1873,0.9406,-0.2665,-0.7935,-3.4790,-1.8311,fall
1173178,0.1868,0.9368,-0.2657,-1.1597,-4.0894,-1.7090,fall
1173188,0.1840,0.9355,-0.2640,-1.3428,-4.5776,-1.5259,fall
1173208,0.1813,0.9343,-0.2623,-1.7700,-6.3477,-2.2583,fall
1173218,0.1812,0.9342,-0.2660,-2.1973,-6.6528,-2.6855,fall
1173228,0.1854,0.9340,-0.2693,-2.6855,-6.8359,-3.2349,fall
1173238,0.1884,0.9337,-0.2723,-3.2349,-7.0190,-3.6011,fall
1173248,0.1924,0.9355,-0.2749,-3.9062,-7.5684,-4.3335,fall
1173258,0.1990,0.9369,-0.2793,-4.2725,-7.8735,-4.1504,fall
1173268,0.2020,0.9404,-0.2792,-4.7607,-8.4229,-4.1504,fall
1173278,0.2040,0.9426,-0.2799,-5.1880,-9.2773,-4.0894,fall
1173288,0.2050,0.9425,-0.2766,-5.2490,-10.1929,-3.9062,fall
1173298,0.2076,0.9427,-0.2753,-4.8218,-11.3525,-3.7231,fall
1173308,0.2083,0.9064,-0.2714,-3.9062,-13.2446,-3.5400,fall
1173318,0.2046,0.9321,-0.2699,-3.6011,-13.8550,-3.5400,fall
1173328,0.2009,0.9299,-0.2642,-3.5400,-14.4653,-3.5400,fall
1173338,0.1973,0.9271,-0.2609,-3.4790,-15.1978,-3.3569,fall
1173348,0.1960,0.9275,-0.2593,-3.4180,-15.9302,-3.1738,fall
1173358,0.1929,0.9282,-0.2556,-3.4790,-16.7236,-2.8687,fall
