timestamp_ms,ax,ay,az,gx,gy,gz,label
,0.1831,0.9667,-0.1210,0.0610,-0.4883,-0.7935,walking
65390,0.1028,0.9991,0.0533,-1.6479,34.6069,5.4932,walking
65410,0.2167,1.0674,-0.0140,0.8545,35.1563,3.9673,walking
65420,0.2437,1.1212,-0.0273,0.1221,34.8511,3.2959,walking
65430,0.2662,1.1826,-0.0289,-0.5493,33.3252,2.8076,walking
65440,0.2723,1.2045,-0.0426,-0.7324,28.5645,2.7466,walking
65450,0.2314,1.1746,-0.0918,-1.5869,15.1978,3.4180,walking
65460,0.2141,1.1165,-0.1014,-0.9155,11.6577,3.7231,walking
65470,0.1925,1.0569,-0.0929,-0.6714,12.0850,4.3335,walking
65480,0.1658,1.0065,-0.0709,-0.8545,15.7471,4.3335,walking
65490,0.1489,0.9568,-0.0404,-0.6104,20.0806,4.8828,walking
65500,0.1440,0.8988,-0.0076,0.6714,24.3530,6.5918,walking
65520,0.1432,0.7766,0.0283,-0.9155,24.1699,6.1646,walking
65530,0.1549,0.7782,0.0151,-2.3193,23.8037,6.5918,walking
65540,0.1638,0.7910,-0.0154,-3.7231,24.8413,6.4697,walking
65550,0.1614,0.8070,-0.0416,-4.8828,27.3438,6.1035,walking
65560,0.1517,0.8267,-0.0729,-9.5825,30.2734,4.6997,walking
65570,0.1293,0.8990,-0.1260,-11.2915,31.0669,3.9673,walking
65580,0.1127,0.9320,-0.1417,-12.2681,31.1890,3.1738,walking
65590,0.1049,0.9668,-0.1571,-12.0850,30.8228,1.8921,walking
65600,0.1024,1.0026,-0.1725,-10.7422,30.3345,0.5493,walking
65610,0.1017,1.0367,-0.1838,-8.9111,29.9072,-0.7324,walking
65620,0.1034,1.0789,-0.1873,-5.0049,29.9072,-1.5259,walking
65630,0.1107,1.0820,-0.1750,-3.2349,30.0293,-1.6479,walking
65640,0.1188,1.0778,-0.1545,-1.7090,30.0293,-1.5259,walking
65650,0.1282,1.0614,-0.1293,-0.7324,29.9072,-1.4648,walking
65660,0.1345,1.0281,-0.1006,-0.1221,28.9917,-1.3428,walking
65670,0.1364,0.9912,-0.0729,-0.4272,26.9775,-0.9155,walking
65690,0.1288,0.9272,-0.0422,-7.3853,18.6768,2.0142,walking
65700,0.1205,0.9197,-0.0441,-8.9111,17.1509,3.2959,walking
65710,0.1121,0.9182,-0.0482,-9.8877,16.3574,4.1504,walking
65720,0.1001,0.9204,-0.0502,-10.3760,16.6016,4.3335,walking
