timestamp_ms,ax,ay,az,gx,gy,gz,label
60165,-0.1637,0.9557,0.1979,2.1973,0.9766,1.3428,idle_sitting
60175,-0.1637,0.9559,0.1989,2.1973,0.9766,1.1597,idle_sitting
60185,-0.1625,0.9548,0.1985,2.0142,1.1597,1.2207,idle_sitting
60205,-0.1617,0.9552,0.2004,1.9531,1.4038,1.2207,idle_sitting
60215,-0.1609,0.9548,0.2006,1.9531,1.4648,1.1597,idle_sitting
60225,-0.1603,0.9561,0.2004,1.8311,1.4648,1.1597,idle_sitting
60235,-0.1604,0.9573,0.2012,1.8311,1.5869,1.2817,idle_sitting
60245,-0.1608,0.9569,0.2000,1.9531,1.5869,1.2817,idle_sitting
60265,-0.1613,0.9553,0.1992,1.7090,1.4648,1.4038,idle_sitting
60275,-0.1625,0.9552,0.1986,1.5869,1.5869,1.3428,idle_sitting
60285,-0.1614,0.9547,0.1993,1.3428,1.5869,1.4038,idle_sitting
60295,-0.1603,0.9547,0.1993,1.2817,1.5869,1.3428,idle_sitting
60305,-0.1595,0.9547,0.1989,1.4038,1.7700,1.2207,idle_sitting
60315,-0.1592,0.9564,0.1985,1.5259,1.7090,1.1597,idle_sitting
60325,-0.1597,0.9563,0.1984,1.6479,1.7090,1.1597,idle_sitting
60335,-0.1593,0.9570,0.1979,1.7090,1.7090,1.2207,idle_sitting
60345,-0.1588,0.9570,0.1982,1.8311,1.7090,1.2817,idle_sitting
60355,-0.1578,0.9562,0.1998,1.9531,1.7700,1.2817,idle_sitting
60365,-0.1586,0.9556,0.2008,1.8311,1.7700,1.2817,idle_sitting
60375,-0.1573,0.9543,0.2004,1.7700,1.7700,1.2817,idle_sitting
60385,-0.1581,0.9556,0.2006,1.6479,1.7700,1.3428,idle_sitting
60395,-0.1588,0.9546,0.2014,1.4648,1.7090,1.5259,idle_sitting
60405,-0.1584,0.9558,0.2009,1.2817,1.6479,1.5259,idle_sitting
60415,-0.1583,0.9556,0.2004,1.2207,1.6479,1.5259,idle_sitting
60435,-0.1592,0.9548,0.1987,1.5869,1.5259,1.5259,idle_sitting
60445,-0.1586,0.9553,0.1993,1.4648,1.3428,1.4648,idle_sitting
60455,-0.1594,0.9556,0.1986,1.5869,1.5259,1.4648,idle_sitting
60465,-0.1608,0.9562,0.1978,1.6479,1.5259,1.3428,idle_sitting
60475,-0.1598,0.9559,0.1989,1.6479,1.3428,1.4038,idle_sitting
60485,-0.1589,0.9569,0.1985,1.7700,1.4038,1.3428,idle_sitting
60495,-0.1594,0.9568,0.1986,1.7090,1.4648,1.2817,idle_sitting
60505,-0.1602,0.9570,0.1989,1.8921,1.4648,1.2817,idle_sitting
60515,-0.1606,0.9576,0.1991,1.8311,1.4038,1.4038,idle_sitting
60525,-0.1588,0.9573,0.1998,1.9531,1.2817,1.3428,idle_sitting
60535,-0.1608,0.9557,0.1998,1.8921,1.3428,1.3428,idle_sitting
60545,-0.1616,0.9547,0.2008,1.9531,1.3428,1.3428,idle_sitting
60555,-0.1611,0.9542,0.1993,1.9531,1.4038,1.2207,idle_sitting
60565,-0.1610,0.9541,0.1982,1.8921,1.4038,1.3428,idle_sitting
60575,-0.1602,0.9536,0.1987,1.7090,1.4648,1.2817,idle_sitting
60585,-0.1615,0.9537,0.1998,1.7090,1.4038,1.2817,idle_sitting
60605,-0.1608,0.9561,0.1982,1.8311,1.2817,1.0986,idle_sitting
60615,-0.1602,0.9563,0.1986,1.8311,1.2207,1.1597,idle_sitting
60625,-0.1606,0.9568,0.1998,1.9531,1.2207,1.2207,idle_sitting
60635,-0.1606,0.9569,0.1996,1.9531,1.2817,1.2817,idle_sitting
60645,-0.1599,0.9574,0.1990,1.8311,1.3428,1.1597,idle_sitting
60655,-0.1600,0.9564,0.2009,2.0142,1.2207,1.0376,idle_sitting
60665,-0.1593,0.9565,0.2006,2.0142,1.2817,1.1597,idle_sitting
60675,-0.1588,0.9564,0.2009,1.8921,1.2817,1.3428,idle_sitting
60685,-0.1591,0.9561,0.2001,1.8311,1.4038,1.2817,idle_sitting
60695,-0.1595,0.9561,0.2002,1.8921,1.4648,1.2817,idle_sitting
60705,-0.1600,0.9547,0.2000,1.8921,1.2817,1.4648,idle_sitting
60715,-0.1614,0.9537,0.1998,1.8921,1.3428,1.3428,idle_sitting
