timestamp_ms,ax,ay,az,gx,gy,gz,label
550480,-0.0177,0.7936,-0.2522,0.0000,16.9678,2.8076,downstairs
550490,0.0200,0.8008,-0.2546,1.6479,8.1787,2.5635,downstairs
550510,0.1757,0.9836,-0.3169,2.5024,2.6855,-1.4648,downstairs
550520,0.1675,1.1040,-0.3823,0.8545,5.1880,-5.1880,downstairs
550530,0.1698,1.2045,-0.4504,-0.3052,12.2681,-10.7422,downstairs
550540,0.2107,1.2604,-0.5386,2.3804,21.1182,-15.1367,downstairs
550550,0.2665,1.3064,-0.6031,13.5498,32.4707,-11.9019,downstairs
550560,0.4564,1.3586,-0.4742,17.5171,34.3018,-4.2114,downstairs
550570,0.5583,1.2627,-0.3866,17.8223,34.4849,4.5166,downstairs
550580,0.6174,1.1370,-0.3109,13.8550,33.4473,14.0991,downstairs
550590,0.6167,1.0349,-0.2452,8.6670,30.5786,21.3013,downstairs
550600,0.5824,0.9484,-0.2119,3.3569,23.9258,23.9258,downstairs
550610,0.4749,0.7715,-0.1973,-7.8735,-1.3428,18.6157,downstairs
550620,0.3567,0.7682,-0.2236,-15.1978,-12.6343,14.4043,downstairs
550630,0.2297,0.7998,-0.2532,-21.3013,-21.3623,10.8032,downstairs
550640,0.1246,0.8865,-0.2965,-24.8413,-26.3672,8.9111,downstairs
550650,0.0530,0.9960,-0.3224,-26.0620,-27.6489,6.7139,downstairs
550660,0.0002,1.1017,-0.3328,-23.4375,-8.0566,0.6104,downstairs
550680,0.0066,1.2467,-0.3065,-5.3101,11.3525,-3.2349,downstairs
550690,0.0649,1.2172,-0.2959,-3.2349,21.3623,-3.1738,downstairs
550700,0.1321,1.1532,-0.2760,-4.0283,26.3062,-2.1973,downstairs
550710,0.2006,1.0560,-0.2366,-5.3711,26.7334,-1.4648,downstairs
550720,0.2644,0.9495,-0.1934,-11.9629,18.8599,-0.3662,downstairs
550730,0.3468,0.8068,-0.1272,-17.0288,14.1602,-0.4883,downstairs
550740,0.3452,0.7794,-0.1219,-19.7144,11.1084,-0.7935,downstairs
550750,0.3263,0.7623,-0.1405,-18.3716,8.9111,-1.0986,downstairs
550760,0.2809,0.7555,-0.1681,-15.7471,5.8594,-0.5493,downstairs
550770,0.2177,0.7623,-0.1937,-12.5732,2.1362,0.6714,downstairs
550780,0.1499,0.7906,-0.2446,-8.7280,-4.9438,4.9438,downstairs
550790,0.0524,0.8011,-0.2471,-6.5308,-6.8359,7.2021,downstairs
