timestamp_ms,ax,ay,az,gx,gy,gz,label
805241,0.2491,0.9196,-0.1284,11.7798,27.7100,-30.5176,stumbling
805251,0.2881,0.8890,-0.1001,9.5215,29.2969,-28.6865,stumbling
805261,0.3049,0.8782,-0.0834,6.4087,27.3438,-23.8647,stumbling
805271,0.2850,0.8904,-0.0959,1.9531,15.9302,-13.1226,stumbling
805281,0.2479,0.8987,-0.1282,0.5493,10.3760,-10.6201,stumbling
805291,0.1964,0.8884,-0.1547,-0.5493,5.9814,-9.4604,stumbling
805301,0.1548,0.8773,-0.1755,-2.5024,3.6011,-8.9722,stumbling
805311,0.1343,0.8699,-0.1980,-3.7842,3.6011,-9.0942,stumbling
805321,0.1178,0.8737,-0.1991,-3.6011,11.5356,-11.4136,stumbling
805341,0.0952,0.8890,-0.2078,0.6104,20.9961,-14.1602,stumbling
805351,0.1222,0.8715,-0.2240,-0.3662,23.4375,-14.7095,stumbling
805361,0.1562,0.8740,-0.2230,-2.9297,24.4141,-15.3809,stumbling
805371,0.1865,0.8947,-0.2300,-5.0049,24.2920,-15.5640,stumbling
805381,0.2126,0.9109,-0.2275,-5.3101,21.8506,-13.4888,stumbling
805391,0.2366,0.9320,-0.2117,-3.9062,22.3389,-11.2305,stumbling
805401,0.2333,0.9374,-0.2001,-1.6479,23.1323,-8.4839,stumbling
805411,0.2249,0.9360,-0.1884,-0.2441,23.0103,-4.6387,stumbling
805421,0.2122,0.9302,-0.1733,0.9155,22.1558,-1.0376,stumbling
805431,0.1992,0.9199,-0.1505,1.8311,21.7896,2.2583,stumbling
805441,0.1877,0.9050,-0.1462,1.6479,20.5078,6.0425,stumbling
805451,0.1713,0.9131,-0.1840,-1.2207,17.4561,6.9580,stumbling
805461,0.2327,0.9617,-0.2509,-6.8359,11.1694,7.0190,stumbling
805471,0.3651,1.0499,-0.3351,-12.6953,2.4414,4.2114,stumbling
805481,0.5099,1.1351,-0.4438,-17.3340,-5.6152,-1.7700,stumbling
805491,0.6456,1.1527,-0.5134,-20.8740,-11.0474,-11.0474,stumbling
805511,0.6907,0.9941,-0.4180,-10.5591,-36.9873,5.7983,stumbling
805521,0.5890,0.9136,-0.2935,3.7231,-42.9077,21.7896,stumbling
