timestamp_ms,ax,ay,az,gx,gy,gz,label
560920,0.2811,1.0920,-0.1755,-14.5874,-16.7847,3.9673,upstairs
560940,0.3608,1.2614,-0.2468,-7.9346,-28.1372,2.5024,upstairs
560950,0.3453,1.2644,-0.2450,-5.0659,-32.7759,3.7842,upstairs
560960,0.3118,1.2333,-0.2242,-3.3569,-37.2314,7.6904,upstairs
560970,0.2499,1.2037,-0.1981,-5.1880,-40.9546,13.6719,upstairs
560980,0.1602,1.1758,-0.1801,-19.6533,-39.1846,22.8271,upstairs
560990,-0.0127,1.1202,-0.2336,-27.0996,-33.1421,21.9116,upstairs
561000,-0.0713,1.0853,-0.2932,-31.5552,-25.2075,16.9067,upstairs
561010,-0.0853,1.0249,-0.3676,-32.8979,-17.3340,8.3618,upstairs
561020,-0.0596,0.9521,-0.4412,-32.0435,-9.2163,-0.9155,upstairs
561030,-0.0100,0.8804,-0.4781,-27.7100,-1.1597,-8.6670,upstairs
561040,0.1105,0.8142,-0.4462,-16.0522,15.0146,-17.5171,upstairs
561050,0.1741,0.7980,-0.3984,-10.0098,21.9727,-19.3481,upstairs
561060,0.2400,0.7806,-0.3396,-4.8218,26.9775,-19.8975,upstairs
561070,0.3044,0.7709,-0.2883,-0.8545,28.6255,-19.5313,upstairs
561080,0.3635,0.7766,-0.2627,-0.1221,25.4517,-17.9443,upstairs
561090,0.3812,0.7980,-0.2523,-3.1738,7.5684,-10.6201,upstairs
561110,0.2526,0.9191,-0.3191,-27.5269,-10.0708,-2.3804,upstairs
561120,0.1807,0.9417,-0.3654,-34.0576,-14.8315,0.7935,upstairs
561130,0.1117,0.9529,-0.4001,-37.7808,-16.9067,4.5166,upstairs
561140,0.0603,0.9561,-0.4272,-37.7197,-16.4185,7.7515,upstairs
561150,0.0426,0.9567,-0.4359,-30.7007,-13.3057,10.0098,upstairs
561160,0.0645,0.9441,-0.3868,-23.8037,-10.9253,8.7891,upstairs
561170,0.0723,0.8949,-0.3352,-15.9302,-7.7515,6.4697,upstairs
561180,0.0844,0.8600,-0.2836,-12.2070,-5.2490,4.0283,upstairs
561190,0.1033,0.8440,-0.2487,-12.3901,-4.6997,1.5869,upstairs
561200,0.1292,0.8335,-0.2222,-13.8550,-6.7749,-0.4272,upstairs
561210,0.1465,0.8496,-0.2354,-18.0664,-17.0288,-2.5635,upstairs
561220,0.1498,0.8671,-0.2642,-18.3105,-22.7661,-3.5400,upstairs
561230,0.1337,0.8969,-0.3199,-18.1274,-28.3203,-4.0283,upstairs
561240,0.1179,0.9277,-0.3671,-16.7236,-33.0200,-3.7842,upstairs
561250,0.1012,0.9414,-0.3906,-14.1602,-36.1328,-2.7466,upstairs
561260,0.0924,0.9861,-0.4083,-13.3057,-37.3535,0.6714,upstairs
561280,0.0487,1.0392,-0.3474,-7.6904,-26.3672,5.0049,upstairs
561290,0.0361,1.0254,-0.3138,-6.7139,-19.8364,7.2021,upstairs
561300,0.0288,0.9954,-0.2795,-5.0049,-13.0615,8.3618,upstairs
561310,0.0310,0.9548,-0.2572,-2.9297,-7.0801,8.2397,upstairs
561320,0.0376,0.9055,-0.2465,-6.1646,-3.5400,6.1646,upstairs
561330,0.0405,0.8867,-0.2723,-9.1553,-5.1880,4.5166,upstairs
561340,0.0192,0.9297,-0.3124,-12.8174,-7.6294,2.2583,upstairs
561350,0.0082,0.9692,-0.3414,-14.6484,-9.8877,-0.6714,upstairs
561360,0.0045,1.0007,-0.3680,-14.2822,-9.7046,-3.0518,upstairs
561370,0.0079,1.0330,-0.3990,-12.8174,-7.1411,-4.8218,upstairs
561380,0.0212,1.0660,-0.4198,-8.3618,0.1831,-3.3569,upstairs
561390,0.0791,1.1100,-0.4082,-5.8594,3.1128,-0.7324,upstairs
561400,0.1212,1.1267,-0.3691,-4.3335,5.0049,2.8687,upstairs
561410,0.1473,1.1545,-0.3234,-5.2490,6.0425,7.0190,upstairs
561420,0.1652,1.1917,-0.2806,-6.9580,6.1646,10.4370,upstairs
